transaction_id,transaction_date,merchant_name,raw_amount,currency,status,risk_score,gateway_region,user_id,payment_method
T001,01-03-2026,Alpha Mart,420000,INR,Captured,62,APAC,U001,UPI
T002,01-03-2026,Alpha Mart,210000,INR,Captured,55,Unknown,U002,Card
T003,01-03-2026,Beta Stores,510000,INR,Captured,71,APAC,U003,NetBanking
T004,01-03-2026,Beta Stores,160000,INR,Failed,68,APAC,U004,Card
T005,01-03-2026,Alpha Mart,390000,INR,Captured,58,Unknown,U001,UPI
T006,02-03-2026,Beta Stores,275000,INR,Captured,64,Unknown,U005,Wallet
T007,02-03-2026,Alpha Mart,450000,INR,Chargeback,83,APAC,U006,Card
T008,02-03-2026,Beta Stores,340000,INR,Captured,59,Unknown,U007,UPI
T009,02-03-2026,Alpha Mart,125000,INR,Captured,46,APAC,U002,Wallet
T010,02-03-2026,Beta Stores,610000,INR,Captured,77,Unknown,U003,Card
T011,02-03-2026,Alpha Mart,195000,INR,Failed,N/A,Unknown,U008,UPI
T012,03-03-2026,Beta Stores,250000,INR,Captured,61,APAC,U009,Card
T013,03-03-2026,Alpha Mart,310000,INR,Captured,54,APAC,U010,UPI
T014,03-03-2026,Beta Stores,470000,INR,Captured,73,APAC,U001,NetBanking
T015,03-03-2026,Alpha Mart,130000,INR,Captured,52,Unknown,U002,Card
T016,03-03-2026,Beta Stores,220000,INR,Failed,69,Unknown,U008,Card
T017,04-03-2026,Beta Stores,180000,INR,Failed,72,APAC,U008,Card
T018,04-03-2026,Beta Stores,145000,INR,Chargeback,86,APAC,U008,UPI
T019,04-03-2026,Alpha Mart,260000,INR,Failed,67,APAC,U008,Wallet
T020,04-03-2026,Alpha Mart,520000,INR,Captured,75,APAC,U005,UPI
T021,04-03-2026,Beta Stores,330000,INR,Captured,63,Unknown,U006,Card
T022,05-03-2026,Alpha Mart,410000,INR,Captured,60,APAC,U007,UPI
T023,05-03-2026,City Pharma,5200,EUR,Captured,42,EU,U003,Card
T024,05-03-2026,Eco Home,6100,EUR,Chargeback,65,EU,U004,Card
T025,05-03-2026,City Pharma,2800,EUR,Captured,38,EU,U005,Wallet
T026,05-03-2026,Eco Home,3300,EUR,Failed,44,EU,U006,NetBanking
T027,05-03-2026,Delta Travels,7200,USD,Captured,49,US,U007,Card
T028,06-03-2026,Delta Travels,3100,USD,Captured,41,US,U008,Card
T029,06-03-2026,Delta Travels,2500,USD,Chargeback,58,US,U009,Wallet
T030,06-03-2026,Delta Travels,1800,USD,Failed,47,US,U010,UPI
